Ticker,Exclusion_Reason,Rebalance_Date,Universe_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct,Eligible_Count,Losing_Buy_Rounds
ADVANC.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
AKR.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
AOT.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
AP.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
ASAP.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
ASIAN.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
AWC.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BANPU.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BAY.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BBL.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BCH.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BCPG.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BCT.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BDMS.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BEM.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BGRIM.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BH.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BJC.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BRR.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
BTS.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CBG.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CCET.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CENTEL.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CGD.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CHG.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CIMBT.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
COM7.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CPALL.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CPF.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CPN.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
CRC.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
DELTA.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
DRT.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
EA.BK,no_available_observation,2016-06-30,100,baseline,10,0.0,,
